"y_on_time_b","on_time_a","planned_dur_a","planned_dur_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
1,1,1680,1620,360,0,0,"73_1"
1,1,1620,1680,0,0,0,"1_1"
1,1,1680,2280,720,1,0,"1_98"
1,1,1860,1920,360,0,0,"6_6"
1,1,1920,1800,300,0,0,"6_54"
1,1,2040,1980,0,0,0,"1_1"
1,1,1980,2100,600,0,1,"1_29"
1,1,2100,1920,0,0,1,"29_29"
1,1,1920,2040,660,0,1,"29_6"
1,1,2040,960,360,0,1,"6_31"
1,1,960,900,120,0,1,"31_31"
1,1,900,2700,300,0,0,"31_160"
1,1,2700,2280,300,0,0,"160_160"
1,1,1680,1620,0,0,0,"1_1"
1,1,1620,1680,300,0,0,"1_1"
1,1,1680,1620,0,0,0,"1_1"
1,1,1620,1620,300,0,0,"1_1"
1,1,1620,1620,0,0,0,"1_1"
1,1,1620,1620,360,0,0,"1_1"
1,1,1620,1620,0,0,0,"1_1"
0,1,1620,1500,360,0,0,"1_1"
1,1,1560,1380,420,0,0,"1_410"
1,1,1380,1740,0,1,0,"410_410"
1,1,1740,1260,480,1,0,"410_3"
1,1,1260,1980,0,1,0,"3_3"
0,0,1620,1800,0,0,1,"3_3"
1,0,1800,1020,420,0,1,"3_74"
1,1,1020,1740,0,0,1,"74_74"
1,1,1740,1320,600,0,1,"74_3"
1,1,1320,1680,0,0,0,"3_3"
1,1,1680,1200,600,0,0,"3_3"
1,1,1200,1620,0,0,0,"3_3"
0,1,1620,1200,780,0,0,"3_3"
1,0,1200,1620,0,0,0,"3_3"
1,1,1620,1860,420,0,0,"3_15"
1,1,1860,1800,540,0,0,"15_15"
1,1,1860,1620,480,0,0,"15_60"
1,1,1620,1200,540,0,0,"6_3"
1,1,1200,1620,0,0,0,"3_3"
1,1,1620,1200,780,0,0,"3_3"
1,1,1200,1620,0,0,0,"3_3"
1,1,1620,1860,420,0,0,"3_15"
1,1,3540,2340,480,0,0,"4_421"
1,1,1800,3540,420,0,0,"132_4"
1,1,3540,1860,540,1,0,"4_20"
1,1,1860,2280,0,1,0,"20_20"
1,1,2280,3840,420,1,0,"20_4"
1,1,3840,1560,480,1,0,"4_38"
1,1,1560,780,600,0,0,"38_46"
1,1,780,1320,0,0,0,"46_46"
1,1,2160,3360,540,0,0,"4_4"
1,1,3360,2220,360,1,0,"4_32"
1,1,2220,2640,300,1,0,"32_32"
1,1,1560,1680,480,0,0,"38_47"
1,1,1680,1620,300,0,0,"47_47"
1,1,1620,780,600,0,0,"47_49"
1,1,780,1260,0,0,0,"49_49"
1,1,1260,1500,420,0,0,"49_42"
1,1,1500,1500,420,0,0,"42_42"
1,1,3360,3540,360,1,0,"4_4"
1,1,3540,1500,480,1,0,"4_80"
1,1,1500,1620,120,1,0,"80_80"
1,1,1620,1740,360,1,0,"80_54"
1,1,1740,780,780,0,0,"54_49"
1,1,780,1200,0,0,0,"49_49"
1,1,1200,1800,540,0,0,"49_43"
1,1,1800,1860,600,0,0,"43_41"
1,1,3540,3840,420,1,0,"4_4"
1,1,3840,3480,840,1,0,"4_4"
1,1,3480,1620,480,1,0,"4_13"
1,1,1620,1560,300,0,0,"13_5"
1,1,1560,1980,0,0,0,"5_5"
1,1,1920,2460,420,1,0,"132_132"
1,1,2460,2460,0,1,0,"132_132"
1,1,2460,1920,300,1,0,"132_132"
1,1,1920,2040,120,1,0,"132_132"
1,1,2040,3480,300,1,0,"132_4"
1,1,3480,1920,840,0,0,"4_76"
1,1,1920,1560,0,0,0,"76_76"
1,1,3660,1920,720,0,0,"4_132"
1,1,1920,1980,120,0,0,"132_132"
1,1,1980,3480,780,0,0,"132_4"
1,1,3480,3900,540,0,0,"4_4"
1,1,3900,1680,300,0,0,"4_47"
1,1,1680,1920,600,0,1,"47_47"
1,1,1920,1740,420,0,1,"47_47"
1,1,1740,1860,420,0,1,"47_47"
1,0,1860,1620,360,1,0,"60_42"
1,1,1620,1680,120,1,0,"42_42"
1,1,1680,1920,660,1,0,"42_13"
1,1,1920,3660,360,0,0,"13_4"
1,1,1740,1920,120,0,0,"32_32"
1,1,3480,3060,480,0,0,"4_21"
1,1,3060,3000,120,0,0,"21_21"
1,1,3000,3900,480,0,0,"21_4"
0,1,2520,3600,420,0,1,"14_88"
1,1,1620,1680,420,0,0,"13_13"
1,1,1680,3900,720,0,0,"13_4"
