"on_time_a","planned_layover_sec","planned_dur_a","planned_dur_b","ampeak_a","pmpeak_a","route_pair"
0,300,1800,1800,1,0,"1_0_1_0"
0,300,1800,1800,1,0,"1_0_1_1"
0,300,1800,1800,1,0,"1_1_1_0"
0,300,1800,1800,1,0,"1_1_1_1"
0,300,1800,1800,1,0,"1_1_13_0"
0,300,1800,1800,1,0,"1_1_14_0"
0,300,1800,1800,1,0,"1_1_15_0"
0,300,1800,1800,1,0,"1_1_21_0"
0,300,1800,1800,1,0,"1_1_25_0"
0,300,1800,1800,1,0,"1_1_29_0"
0,300,1800,1800,1,0,"1_1_4_1"
0,300,1800,1800,1,0,"1_1_410_0"
0,300,1800,1800,1,0,"1_1_428_0"
0,300,1800,1800,1,0,"1_1_54_0"
0,300,1800,1800,1,0,"1_1_6_0"
0,300,1800,1800,1,0,"1_1_71_0"
0,300,1800,1800,1,0,"1_1_73_0"
0,300,1800,1800,1,0,"1_1_8_0"
0,300,1800,1800,1,0,"1_1_83_0"
0,300,1800,1800,1,0,"1_1_84_0"
0,300,1800,1800,1,0,"1_1_98_0"
0,300,1800,1800,1,0,"1_1_99_0"
0,300,1800,1800,1,0,"120_0_120_0"
0,300,1800,1800,1,0,"120_0_120_1"
0,300,1800,1800,1,0,"120_1_20_0"
0,300,1800,1800,1,0,"120_1_410_0"
0,300,1800,1800,1,0,"120_1_417_0"
0,300,1800,1800,1,0,"120_1_421_0"
0,300,1800,1800,1,0,"120_1_6_0"
0,300,1800,1800,1,0,"120_1_78_0"
0,300,1800,1800,1,0,"123_0_123_0"
0,300,1800,1800,1,0,"123_0_123_1"
0,300,1800,1800,1,0,"123_0_29_1"
0,300,1800,1800,1,0,"123_1_120_0"
0,300,1800,1800,1,0,"123_1_123_0"
0,300,1800,1800,1,0,"123_1_123_1"
0,300,1800,1800,1,0,"123_1_13_0"
0,300,1800,1800,1,0,"123_1_15_0"
0,300,1800,1800,1,0,"123_1_16_0"
0,300,1800,1800,1,0,"123_1_161_0"
0,300,1800,1800,1,0,"123_1_19_0"
0,300,1800,1800,1,0,"123_1_20_0"
0,300,1800,1800,1,0,"123_1_21_0"
0,300,1800,1800,1,0,"123_1_4_1"
0,300,1800,1800,1,0,"123_1_417_0"
0,300,1800,1800,1,0,"123_1_54_0"
0,300,1800,1800,1,0,"123_1_71_0"
0,300,1800,1800,1,0,"123_1_74_0"
0,300,1800,1800,1,0,"123_1_75_0"
0,300,1800,1800,1,0,"123_1_76_0"
0,300,1800,1800,1,0,"123_1_81_0"
0,300,1800,1800,1,0,"123_1_82_0"
0,300,1800,1800,1,0,"125_1_120_0"
0,300,1800,1800,1,0,"125_1_16_0"
0,300,1800,1800,1,0,"125_1_417_0"
0,300,1800,1800,1,0,"125_1_428_0"
0,300,1800,1800,1,0,"125_1_73_0"
0,300,1800,1800,1,0,"125_1_84_0"
0,300,1800,1800,1,0,"125_1_99_0"
0,300,1800,1800,1,0,"128_0_128_1"
0,300,1800,1800,1,0,"128_0_199_1"
0,300,1800,1800,1,0,"128_1_21_0"
0,300,1800,1800,1,0,"128_1_83_0"
0,300,1800,1800,1,0,"128_1_84_0"
